paper_id,claim_id,claim_text,claim_location,claim_prominence,method_used,method_rung,claim_rung,gap_score,confidence,notes,replication_status,replication_evidence
2211.00593,2211.00593-01,"presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI)",abstract,3,Activation Patching,2,3,1,5,"'performs' is Rung 3 mechanistic language. Method is path patching (Rung 2).",0.5,"Different ablation strategies yield different circuits"
2211.00593,2211.00593-02,"Our explanation encompasses 26 attention heads grouped into 7 main classes",abstract,3,Activation Patching,2,2,0,5,"Descriptive claim about circuit structure; does not overclaim.",0.5,
2211.00593,2211.00593-03,"this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior",abstract,3,Activation Patching,2,3,1,4,"'reverse-engineering' implies full mechanistic understanding (Rung 3).",0.5,
2211.00593,2211.00593-04,"Name Mover Heads... move the name from the subject to the end position",body,1,Activation Patching,2,3,1,5,"'move' is functional/mechanistic language (Rung 3).",0.5,"Known issue: Different ablation methods yield different circuits"
2211.00593,2211.00593-05,"S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token",body,1,Activation Patching,2,3,1,5,"'inhibit' is mechanistic functional attribution (Rung 3).",0.5,
2211.00593,2211.00593-06,"the circuit is faithful complete and minimal",abstract,2,Activation Patching,2,3,1,4,"'the circuit' implies uniqueness (Rung 3). NOTE: Paper actually hedges this claim acknowledging limitations.",0.5,
2202.05262,2202.05262-01,"factual associations correspond to localized directly-editable computations",abstract,3,Causal Tracing,2,3,1,5,"'correspond to' + 'computations' is mechanistic (Rung 3).",0.5,"Hase et al. 2023 questions localization interpretation"
2202.05262,2202.05262-02,"a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions",abstract,3,Causal Tracing,2,2,0,5,"'mediate' is appropriate Rung 2 language.",0.5,
2202.05262,2202.05262-03,"mid-layer feed-forward modules... storing factual associations",abstract,3,Causal Tracing,2,3,1,5,"'storing' implies memory mechanism (Rung 3).",0.5,
2202.05262,2202.05262-04,"ROME is effective on a standard zero-shot relation extraction model-editing task",abstract,3,ROME Editing,2,2,0,5,"Empirical effectiveness claim matched to method rung.",1,"ROME editing has side effects; not robust to prompts"
2301.05217,2301.05217-01,"We fully reverse engineer the algorithm learned by these networks",abstract,3,Circuit Analysis + Ablation,2,3,1,4,"'fully reverse engineer' implies complete mechanistic understanding.",0,"Well-replicated; Fourier structure confirmed"
2301.05217,2301.05217-02,"uses discrete Fourier transforms and trigonometric identities to convert addition to rotation",abstract,3,Weight Analysis + Ablation,2,3,1,5,"'uses... to convert' is mechanistic (Rung 3).",0,"Strong replication"
2301.05217,2301.05217-03,"grokking arises from the gradual amplification of structured mechanisms encoded in the weights",abstract,3,Weight Analysis + Ablation,2,3,1,4,"'encoded in the weights' is Rung 3. Paper uses ablation-based progress measures (restricted/excluded loss).",0,
2409.04478,2409.04478-01,"SAEs struggle to reach the neuron baseline",abstract,3,Interchange Intervention,2,2,0,5,"Causal claim appropriate for intervention method.",0,"Directly evaluative; findings replicated"
2409.04478,2409.04478-02,"sets of SAE features that separately mediate knowledge of which country a city is in",abstract,3,Interchange Intervention,2,2,0,5,"'mediate' is appropriate Rung 2 language.",0,
