paper_id,claim_id,claim_text,claim_location,claim_prominence,method_used,method_rung,claim_rung,gap_score,confidence,hedge_flag,reasoning
2104.08164,2104.08164-01,The factual knowledge acquired during pre-training and stored in the parameters of Language Models,abstract,3,Hyper-network weight update prediction (observational analysis of which parameters the learned editor modifies),1,3,2,4,0,"The claim 'stored in the parameters of Language Models' uses storage/memory language ('stored'), which per the codebook is a Rung 3 mechanistic marker implying a memory mechanism. The method is a hyper-network that learns to predict weight updates; the 'probe' interpretation comes from observing which components the hyper-network modifies, which is observational (R1) -- no causal intervention (patching, ablation) is performed on the LM itself to establish that these parameters store knowledge. The paper treats the update pattern as revealing storage locations, but this is an indirect inference from a learned editing procedure, not a causal test of storage. Gap: +2 (R1 method -> R3 claim)."
2104.08164,2104.08164-02,our hyper-network can be regarded as a probe revealing which components need to be changed to manipulate factual knowledge,abstract,3,Hyper-network weight update prediction (observational analysis of learned update patterns),1,2,1,4,0,"The claim states the hyper-network 'can be regarded as a probe revealing which components need to be changed to manipulate factual knowledge.' The phrase 'need to be changed to manipulate' implies causal necessity -- that these specific components must be modified (R2 causal language). However, the method is observational: the hyper-network learns an update pattern, and the authors observe which components receive large updates. No ablation or patching experiment verifies that these components are causally necessary. The word 'probe' itself is R1 language, but the claim that it reveals what 'needs to be changed' implies causal sufficiency/necessity (R2). Gap: +1 (R1 method -> R2 claim)."
2104.08164,2104.08164-03,our analysis shows that the updates tend to be concentrated on a small subset of components,abstract,3,Hyper-network weight update prediction (observational analysis of update magnitude distribution),1,1,0,5,0,"The claim 'the updates tend to be concentrated on a small subset of components' is a purely observational/descriptive statement about the distribution of learned weight updates. It describes a pattern (concentration/sparsity) without making causal or mechanistic claims about why or what these components do. The method (observing update magnitudes from the hyper-network) is R1, and the claim language is appropriately R1 -- it reports an empirical observation. No overclaim. Gap: 0."
2104.08164,2104.08164-04,our hyper-network can be regarded as a probe revealing the causal mediation mechanisms,body,1,Hyper-network weight update prediction (observational analysis of update patterns),1,3,2,4,0,The claim states the hyper-network 'can be regarded as a probe revealing the causal mediation mechanisms.' The phrase 'causal mediation mechanisms' is explicitly mechanistic (R3) -- it claims the update patterns reveal the underlying mechanisms by which factual knowledge is mediated in the model. Per the codebook decision tree for 'the mechanism': does the paper test uniqueness or provide interventional evidence? No -- the evidence is purely observational (which weights the hyper-network learns to update). The authors reference Vig et al. (2020) for 'causal mediation' but do not themselves perform causal mediation analysis. Using R3 mechanistic language based on R1 observational evidence. Gap: +2 (R1 -> R3).
2104.08164,2104.08164-05,the knowledge manipulation seems to be achieved by primarily modifying parameters affecting the shape of the attention distribution,body,1,Hyper-network weight update prediction (observational analysis of update magnitude across parameter types),1,3,2,4,1,"The claim 'the knowledge manipulation seems to be achieved by primarily modifying parameters affecting the shape of the attention distribution' uses mechanistic language: 'achieved by' implies a functional mechanism (R3), describing how the model accomplishes knowledge manipulation through specific parameter types (attention key/query weights). The hedge 'seems to be' is noted (hedge_flag=1) but per codebook guidelines, the underlying claim is still coded as R3. The method is observational -- Section 6.4 analyzes the magnitude of updates across different parameter types (K, Q, V weights) without interventional validation that these parameters are causally responsible. Gap: +2 (R1 -> R3)."
2202.05262,2202.05262-01,factual associations correspond to localized directly-editable computations,abstract,3,Causal tracing (activation patching with corruption and restoration) and ROME weight editing,2,3,1,5,0,"The claim 'factual associations correspond to localized directly-editable computations' uses 'correspond to' which is an identity/correspondence claim (R3) -- it asserts that factual associations ARE localized computations, not merely that interventions on these locations have causal effects. Per the calibration rationale for this paper, 'correspond to localized computations' is a +1 overclaim. The method (causal tracing) establishes that mid-layer MLPs have high causal effect on factual predictions (R2), and ROME demonstrates editability (R2). But 'correspond to' implies a structural identity between the abstract concept (factual association) and the computation, which is a mechanistic claim beyond what interventional evidence supports. Gap: +1 (R2 -> R3)."
2202.05262,2202.05262-02,a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions,abstract,3,Causal tracing (activation patching with corruption and restoration),2,2,0,5,0,"The claim identifies 'a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions.' The key verb is 'mediate,' which per the codebook is proper R2 (causal) language -- it describes causal mediation without implying a unique mechanism or storage. The method is causal tracing (corruption + restoration of activations), which is a causal intervention (R2). The claim-method alignment is appropriate. Per the calibration rationale, 'mediate factual predictions' is identified as an appropriate R2 claim with no overclaim. Gap: 0."
2202.05262,2202.05262-03,mid-layer feed-forward modules... storing factual associations,abstract,3,Causal tracing (activation patching with corruption and restoration) and ROME weight editing,2,3,1,5,0,"The claim 'mid-layer feed-forward modules... storing factual associations' uses 'storing,' which per the codebook and calibration rationale is R3 mechanistic language implying a memory/storage mechanism. Per the calibration document: 'Storage/memory language (stores, encodes, contains) typically implies Rung 3 mechanistic claims. Causal tracing only establishes causal mediation (R2), not storage mechanisms.' The causal tracing shows these modules have high causal effect (R2), and ROME shows they can be edited (R2), but neither establishes that the modules function as a storage mechanism. The claim goes beyond causal mediation to assert a specific functional role (storage). Gap: +1 (R2 -> R3)."
2202.05262,2202.05262-04,ROME is effective on a standard zero-shot relation extraction model-editing task,abstract,3,ROME weight editing evaluated on zero-shot relation extraction benchmark,2,2,0,5,0,"The claim 'ROME is effective on a standard zero-shot relation extraction model-editing task' is an empirical performance claim about the editing method's effectiveness. It does not make mechanistic claims about what the model represents or how it works internally. The method (ROME editing + benchmark evaluation) is R2 interventional, and the claim is appropriately R2 -- it describes the outcome of an intervention without overclaiming about mechanisms. Per the calibration rationale, 'ROME is effective' is identified as an appropriate empirical claim matched to method. Gap: 0."
2211.00593,2211.00593-01,presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI),abstract,3,"Path patching (causal intervention), activation patching, mean ablation knockouts",2,3,1,5,0,"The claim 'presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification' uses 'performs' -- a functional verb that is a R3 mechanistic marker per the codebook. The claim asserts that the paper explains the mechanism by which the model performs the task, which is a mechanistic/functional attribution (R3). The methods used are path patching and activation patching (R2 interventional). Per the calibration anchor: 'performs IOI task' with 'performs' = functional is a +1 overclaim (R2 -> R3). The interventions establish causal sufficiency of specific heads but not that these heads uniquely perform the computation. Gap: +1 (R2 -> R3)."
