paper_id,claim_id,claim_text,claim_location,claim_prominence,method_used,method_rung,claim_rung,gap_score,confidence,hedge_flag,reasoning
2211.00593,2211.00593-01,presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI),abstract,3,Circuit analysis using causal interventions (path patching / activation patching / knockouts via mean ablation),2,3,1,4,0,"Method: The paper’s core evidence for its explanation relies on causal interventions (path patching, activation patching, knockouts/ablations), which are Rung 2 interventional methods. Claim: “presenting an explanation for how GPT-2 small performs [IOI]” is a mechanistic/functional attribution about how the model performs the task (an end-to-end explanatory mechanism), which corresponds to a Rung 3 mechanistic claim rather than a narrower causal-effect claim. No explicit hedge language is present in the quoted text."
2211.00593,2211.00593-02,Our explanation encompasses 26 attention heads grouped into 7 main classes,abstract,3,Path patching / activation patching / knockouts (causal interventions) used to discover and validate the set of heads and their grouping,2,1,0,4,0,"The statement is primarily a descriptive/quantitative inventory claim about what their proposed explanation contains (a set of 26 heads grouped into 7 classes), not a causal or mechanistic attribution about what those heads do. It does not assert that these heads are responsible for IOI or implement an algorithm; it just counts/components-in-explanation. The supporting methodology in the paper for identifying these heads relies on interventional causal techniques (path patching, ablations/knockouts), which are R2."
2211.00593,2211.00593-03,this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior,abstract,3,Combination of interpretability approaches relying on causal interventions (path patching / activation patching / knockouts/ablations),2,3,1,4,0,"Method: the paper’s core evidence is interventional (path patching/activation patching/knockouts), which is Rung 2. Claim: calling the work an “end-to-end attempt at reverse-engineering a natural behavior” is a mechanistic/completeness framing (reverse-engineering implies identifying the underlying algorithm/mechanism, beyond merely showing causal effects of specific components), so it maps to Rung 3. It is also a superlative/meta-claim about scope (“largest”), but the key empirical/mechanistic assertion is the reverse-engineering framing. No explicit hedge in the quoted text."
2211.00593,2211.00593-04,Name Mover Heads... move the name from the subject to the end position,body,1,Activation/path patching (path patching / causal tracing-style intervention on attention head activations) plus knockout/ablation-style interventions; supported by attention pattern analysis and OV/copy-score analysis,2,3,1,5,0,"Method: The paper supports Name Mover Heads with interventional evidence (path patching showing direct causal effect on logit difference; knockouts/mean ablations) → method_rung 2. Claim: “move the name from the subject to the end position” is a functional/mechanistic attribution (a head *does* an operation: moving/copying a name to END), not merely that intervening changes outputs. This is R3 per codebook (functional verb ‘move’ / mechanistic narrative). No explicit hedge in the quoted claim."
2211.00593,2211.00593-05,S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token,body,1,Activation/path patching (causal intervention on internal activations; plus attention-pattern comparison before/after patching),2,2,0,5,0,"The paper supports this with interventional evidence: they path-patch heads 7.3, 7.9, 8.6, 8.10 into Name Mover Heads’ query inputs and show a drop in logit difference (Fig. 4b), and they directly compare Name Mover attention distributions before vs after patching these heads (Fig. 4c), showing increased attention to S1 when the S-Inhibition heads are patched from pABC. The claim itself is causal (“inhibit attention”), describing an interventionally-supported effect on attention, not a full mechanistic/unique-function attribution beyond that causal role. No explicit hedge in the quoted claim."
2211.00593,2211.00593-06,the circuit is faithful complete and minimal,abstract,2,"Quantitative circuit validation via knockouts/mean ablation and performance metrics (faithfulness, completeness, minimality)",2,3,1,4,0,"Method: The paper evaluates faithfulness/completeness/minimality by intervening on the model (knocking out/mean-ablating sets of heads; comparing F(C), F(M), and F(·\K) under knockouts). This is interventional evidence (R2), not a uniqueness/counterfactual-proof method. Claim: Stating “the circuit is faithful, complete and minimal” is a strong mechanistic adequacy claim that the identified circuit constitutes the (sufficient) explanation of the behavior and that it contains all and only necessary components—this goes beyond a simple causal effect statement and functions as a ‘mechanism fully captured’ claim (R3). No explicit hedge in the quoted text."
2202.05262,2202.05262-01,factual associations correspond to localized directly-editable computations,abstract,3,Causal tracing / causal mediation analysis via activation patching (corrupted-with-restoration) plus ROME rank-one weight editing (interventional weight update),2,3,1,4,0,"Method: The abstract’s support comes from (i) causal tracing that restores internal activations to measure indirect causal effects, and (ii) ROME weight edits that change outputs—both are interventions establishing causal influence under specific manipulations (R2). Claim: “factual associations correspond to localized, directly-editable computations” is an identity/mechanistic attribution: it asserts the associations *are* localized computations and that these computations are directly editable, which goes beyond a pure causal-effect statement (“intervening on X changes Y”) into a mechanistic framing about what the internal computation is (R3 per codebook: ‘correspond to localized computations’ is a known ROME overclaim pattern). No explicit hedge like “may/suggests” appears in the quoted claim, despite nearby abstract language (“finding evidence that…”)."
2202.05262,2202.05262-02,a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions,abstract,3,Causal tracing / causal mediation analysis via activation patching (corrupted run + restoration of internal activations; measuring indirect effects),2,2,0,5,0,"The supporting evidence is an interventional activation-restoration setup measuring (average) indirect causal effects of internal states, which is Rung 2. The claim says these middle-layer MLP modules ‘mediate factual predictions,’ which is explicitly a causal mediation/causal contribution claim (Rung 2), not a full mechanistic ‘stores/encodes/implements’ attribution (Rung 3). No explicit hedge terms (e.g., may/suggests) appear in the quoted fragment."
2202.05262,2202.05262-03,mid-layer feed-forward modules... storing factual associations,abstract,3,Causal tracing / causal mediation analysis via activation patching (corrupted run + restoration of internal activations) plus weight-edit intervention (ROME rank-one weight update),2,3,1,5,0,"The quoted claim attributes a mechanistic function to a specific component: that mid-layer feed-forward (MLP) modules are *storing* factual associations. Per the codebook, “stores” is storage/memory language that defaults to a mechanistic/representational attribution (R3), not merely causal mediation. The paper’s main supporting evidence for localization comes from interventional methods (causal tracing/activation restoration; and ROME weight edits), which are R2 because they establish causal effects of interventions on outputs but do not establish counterfactual uniqueness/necessity of the storage mechanism. The abstract sentence is stated as a fact (“confirm an important role… in storing”), with no explicit hedge like “may/suggest,” so hedge_flag=0."
2202.05262,2202.05262-04,ROME is effective on a standard zero-shot relation extraction model-editing task,abstract,3,ROME/MEMIT-style weight editing intervention evaluated on zsRE benchmark (interventional weight modification + behavioral evaluation),2,1,0,5,0,"The supporting evidence is an explicit intervention on model weights (ROME rank-one update) followed by measuring downstream task performance on zsRE, which is Rung 2. However, the claim itself is only an empirical effectiveness/performance statement (“ROME is effective on… task”) and does not assert a causal/mechanistic account of internals; it’s essentially a benchmark result claim, so it fits Rung 1 (observational outcome) rather than R2/R3 mechanistic language. No hedging present."
