paper_id,claim_id,claim_text,claim_location,claim_prominence,method_used,method_rung,claim_rung,gap_score,confidence,hedge_flag,reasoning
2211.00593,2211.00593-01,presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI),abstract,3,Activation patching and causal interventions,2,3,1,4,0,"The claim 'presenting an explanation for how GPT-2 small performs [the IOI task]' uses functional/mechanistic language ('how... performs') consistent with Rung 3 claims. The paper employs interventional methods like activation patching (path patching) and knockouts (Rung 2) but makes a mechanistic claim about the model's internal algorithm. This matches the overclaim pattern 'Patching → THE circuit' (+1 gap). Though the paper later qualifies completeness (Section 4), the abstract claim is unhedged and definitive. Confidence is 4 due to minor ambiguity in scope (e.g., backup heads indicate partial redundancy), but the core claim is clearly Rung 3."
2211.00593,2211.00593-02,Our explanation encompasses 26 attention heads grouped into 7 main classes,abstract,3,Activation patching and ablation,2,3,1,4,0,"The claim describes the circuit (a mechanistic explanation) found using interventional methods (activation patching and ablation, Rung 2). The claim about the circuit's structure is part of a mechanistic explanation (Rung 3) as it encompasses the grouping of heads that implement the task. There is no hedging language."
2211.00593,2211.00593-03,this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior,abstract,3,"Activation patching, causal tracing, ablation",2,3,1,5,0,"The claim uses 'reverse-engineering', a Rung 3 linguistic marker indicating a mechanistic/uniqueness claim about the model's internal algorithm. The paper's methods (activation patching, causal tracing, ablation) are Rung 2 interventions that establish causal effects but not counterfactual necessity or uniqueness. This matches the calibration pattern (IOI paper) where 'reverse-engineering' claims Rung 3 despite Rung 2 evidence. No hedging language is present. Confidence is high due to explicit codebook alignment and calibration precedent."
2211.00593,2211.00593-04,Name Mover Heads... move the name from the subject to the end position,body,1,Activation patching and ablation,2,3,1,5,0,"The claim 'move the name from the subject to the end position' uses the functional verb 'move', which is a Rung 3 linguistic marker (mechanistic/functional attribution) per the codebook. The supporting methods—activation patching (Rung 2) and ablation (Rung 2)—establish causal sufficiency but not uniqueness or full mechanistic implementation. This matches the calibration example (IOI paper) where 'moves' claims were Rung 3 despite Rung 2 evidence. No hedging language is present."
2211.00593,2211.00593-05,S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token,body,1,Activation patching,2,2,0,4,0,"The claim 'S-Inhibition Heads inhibit attention from the Name Mover Heads to the S token' is supported by activation patching interventions (Section 3.2, Figure 4c), a Rung 2 method. The term 'inhibit' implies a causal effect (reducing attention to S tokens), aligning with Rung 2 linguistic markers like 'intervening on X changes Y'. No hedging language is present. Confidence is 4 due to clear experimental validation but minor ambiguity in the scope of 'inhibit'."
2211.00593,2211.00593-06,the circuit is faithful complete and minimal,abstract,2,Activation patching and ablation,2,2,0,4,0,"The claim 'the circuit is faithful complete and minimal' is about properties evaluated using causal interventions (Rung 2 methods). Faithfulness, completeness, and minimality are tested via activation patching and ablation, which are Rung 2 methods. The claim does not assert a unique mechanism (which would be Rung 3) but rather the circuit's causal sufficiency and necessity under interventions. The use of 'the circuit' is a naming convention for the circuit they discovered, and the paper acknowledges gaps, so it is not a uniqueness claim."
2202.05262,2202.05262-01,factual associations correspond to localized directly-editable computations,abstract,3,Causal Tracing and ROME,2,3,1,4,1,"The claim is supported by interventional methods (Causal Tracing and ROME, Rung 2). The claim describes a mechanistic property of factual associations being localized and directly-editable, which is a Rung 3 claim. The phrase 'finding evidence that' in the abstract introduces hedging. Confidence is 4 due to minor ambiguity in the phrasing 'correspond to', but the context clearly indicates a mechanistic claim."
2202.05262,2202.05262-02,a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions,abstract,3,Causal mediation analysis (causal tracing),2,2,0,5,0,"The method used is causal tracing, which is an interventional method (Rung 2). The claim uses the term 'mediate', which is a linguistic marker for Rung 2 (Causal Claims). There is no hedging in the claim. This is a clear case with high confidence."
2202.05262,2202.05262-03,mid-layer feed-forward modules... storing factual associations,abstract,3,Causal Tracing and ROME editing,2,3,1,4,0,"The claim 'storing factual associations' uses the term 'storing', which is a Rung 3 mechanistic marker per the codebook's polysemous terms decision tree. The paper supports this with Rung 2 methods: causal tracing (interventional patching) and ROME editing (weight intervention). No hedging language is present. Confidence is 4 due to strong empirical support but inherent ambiguity in inferring storage mechanisms from interventions."
2202.05262,2202.05262-04,ROME is effective on a standard zero-shot relation extraction model-editing task,abstract,3,ROME editing,2,2,0,5,0,"ROME editing is explicitly classified as a Rung 2 (Interventional) method in the codebook (under 'Steering vectors' and 'ROME/MEMIT edits'). The claim 'ROME is effective' describes a causal outcome of this intervention (model performance improvement), matching Rung 2 linguistic markers ('is effective' implies causal sufficiency). No hedging language is present, and the classification aligns perfectly with the codebook definitions and examples."
