paper_id,claim_id,claim_text,claim_location,claim_prominence,method_used,method_rung,claim_rung,gap_score,confidence,hedge_flag,reasoning
2211.00593,2211.00593-01,presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI),abstract,3,"Path patching (activation patching variant) combined with attention pattern analysis, ablation, and other causal interventions",2,3,1,4,0,"The claim 'presenting an explanation for how GPT-2 small performs a natural language task' uses the verb 'performs' which is a functional attribution marker (R3). The paper uses path patching (a causal intervention method, R2) and other interventional techniques to discover a circuit. However, the claim implies a mechanistic explanation of how the model performs the task, which is a R3 claim. The gap is +1 (R2 method to R3 claim), consistent with the calibration anchor pattern from the IOI paper. There is no hedging language in this claim."
2211.00593,2211.00593-02,Our explanation encompasses 26 attention heads grouped into 7 main classes,abstract,3,"Path patching (activation patching variant), attention pattern analysis, ablation",2,3,1,4,0,"The claim 'Our explanation encompasses 26 attention heads grouped into 7 main classes' is from the abstract. The paper uses path patching (a causal intervention method, Rung 2), attention pattern analysis (Rung 1), and ablation (Rung 2). The claim uses 'explanation' and 'encompasses' to describe a circuit that implements the IOI task, implying a mechanistic understanding of how the model performs the task. This aligns with Rung 3 linguistic markers like 'the circuit' (uniqueness) and functional attribution ('performs' implied). The claim is stated as fact without hedging. However, there is minor ambiguity because 'explanation' could be interpreted as a causal account (Rung 2), but the context of grouping heads into functional classes suggests a mechanistic narrative (Rung 3)."
2211.00593,2211.00593-03,this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior,abstract,3,Path patching (activation patching variant) and other causal interventions,2,3,1,4,0,"The claim 'this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior' uses the term 'reverse-engineering,' which implies uncovering the underlying mechanism or algorithm (Rung 3). The paper uses path patching (a causal intervention method) and other interventional techniques like knockouts, which are Rung 2 methods. However, 'reverse-engineering' suggests a mechanistic understanding beyond just causal effects, aligning with Rung 3 claims. The claim is stated as a fact without hedging. Confidence is 4 due to minor ambiguity in whether 'reverse-engineering' is being used in a strictly mechanistic sense, but the context supports a Rung 3 interpretation."
2211.00593,2211.00593-04,Name Mover Heads... move the name from the subject to the end position,body,1,Activation patching / path patching,2,3,1,4,0,"The claim 'Name Mover Heads... move the name from the subject to the end position' uses the functional verb 'move' which is a Rung 3 marker (mechanistic claim). The method used is activation patching/path patching (causal intervention), which is Rung 2. The claim asserts a specific function ('move the name'), implying a mechanistic role beyond just correlation or causal effect. There is no hedging language. However, the paper provides interventional evidence supporting the head's role, so while the claim is Rung 3, the method is Rung 2, indicating a +1 gap. Confidence is 4 due to minor ambiguity in whether 'move' is purely mechanistic or could be interpreted as causal sufficiency."
2211.00593,2211.00593-05,S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token,body,1,Activation patching / path patching,2,2,0,4,0,"The claim 'S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token' describes a causal effect established through interventional methods. The paper uses path patching (a variant of activation patching) to show that S-Inhibition Heads directly influence Name Mover Heads' queries, causing a drop in logit difference and changing attention patterns. This is a Rung 2 method (interventional) supporting a Rung 2 claim (causal effect: 'inhibit' implies causal influence). The claim is stated as a fact without hedging. Confidence is high but not maximal due to some ambiguity in whether 'inhibit' implies a unique mechanism (R3) or just causal sufficiency; however, the context and evidence support a causal claim without uniqueness assertions."
2211.00593,2211.00593-06,the circuit is faithful complete and minimal,abstract,2,"Path patching, ablation, and quantitative criteria evaluation",2,3,1,4,0,"The claim 'the circuit is faithful complete and minimal' is a mechanistic claim about the circuit's properties (faithfulness, completeness, minimality) as defined in the paper. The methods used include path patching (Rung 2 interventional) and ablation (Rung 2), along with quantitative criteria evaluation. The claim uses definitive language ('is') to assert that the circuit possesses these properties, implying a mechanistic understanding and uniqueness (it is THE circuit). This aligns with Rung 3 linguistic markers like 'THE circuit' and functional attribution. However, the paper notes limitations (e.g., gaps in understanding, compensation effects), which slightly reduces confidence. No hedging words are present."
2202.05262,2202.05262-01,factual associations correspond to localized directly-editable computations,abstract,3,Causal Tracing (activation patching) and ROME (weight editing),2,3,1,4,0,"The claim 'factual associations correspond to localized directly-editable computations' uses mechanistic language ('correspond to', 'computations') implying a specific mechanism. The paper uses causal tracing (activation patching, Rung 2) and ROME editing (weight intervention, Rung 2) to support this. However, the claim suggests a unique, localized computational mechanism (Rung 3) based on interventional evidence. This matches the overclaim pattern 'Patching → THE circuit' (R2→R3). No hedging words present."
2202.05262,2202.05262-02,a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions,abstract,3,Causal Tracing (activation patching variant),2,2,0,4,0,"The claim 'mediate factual predictions' uses the linguistic marker 'mediate,' which is explicitly listed as a Rung 2 (Causal) marker in the codebook. The method used is Causal Tracing, which involves corrupting inputs and restoring activations to measure causal effects—this is an interventional method (Rung 2). The claim does not assert uniqueness or a complete mechanism (e.g., 'the circuit' or 'encodes'), so it is appropriately Rung 2. There is no hedging language (e.g., 'may' or 'suggests'), so hedge_flag is 0. Confidence is 4 because the method and claim alignment is clear, though there is minor ambiguity in whether 'mediate' could be interpreted as a stronger mechanistic claim, but the codebook explicitly categorizes it as Rung 2."
2202.05262,2202.05262-03,mid-layer feed-forward modules... storing factual associations,abstract,3,Causal tracing (activation patching) and ROME editing,2,3,1,4,0,"The claim 'mid-layer feed-forward modules... storing factual associations' uses the term 'storing', which is a Rung 3 mechanistic term implying a memory mechanism. According to the codebook's decision tree for 'encodes/represents/stores', if the paper provides interventional evidence (yes), we must check if the claim is about the intervention's result or the underlying mechanism. The paper uses causal tracing (Rung 2 interventional method) and ROME editing (Rung 2 interventional method) to support this claim. The claim is about the underlying storage mechanism, not just the result of the intervention, so it should be coded as Rung 3. There is no hedge present. Confidence is 4 due to minor ambiguity in whether 'storing' is meant mechanistically or as a result of intervention, but the context suggests a mechanistic claim."
2202.05262,2202.05262-04,ROME is effective on a standard zero-shot relation extraction model-editing task,abstract,3,ROME (Rank-One Model Editing),2,2,0,4,0,"The claim 'ROME is effective on a standard zero-shot relation extraction model-editing task' is an empirical claim about the performance of an interventional method. ROME involves modifying model weights (specifically MLP weights via a rank-one update) to edit factual associations, which is an intervention on the model's parameters to change its behavior. This fits Rung 2 (Interventional) methods, as it establishes causal effects under specific interventions (editing weights and measuring changes in output). The claim itself states that the method 'is effective' on a task, which is a causal claim about the method's ability to produce desired changes (improved performance on the editing task). This matches Rung 2 linguistic markers like 'is effective' (implying causal sufficiency) and aligns with the intervention's purpose. There is no hedge present (e.g., 'may be effective'), so hedge_flag is 0. Confidence is 4 because while the method and claim are clearly interventional, there is minor ambiguity in whether 'effective' strictly implies causality, but the context supports it."
