paper_id,claim_id,claim_text,claim_location,claim_prominence,method_used,method_rung,claim_rung,gap_score,confidence,hedge_flag,reasoning
2211.00593,2211.00593-01,presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI),abstract,3,Path patching (causal intervention) and circuit analysis,2,3,1,5,0,"The method used is path patching, which is a form of activation patching (Rung 2). The claim uses the functional verb 'performs' and frames the work as an 'explanation' of the model's internal behavior. According to the codebook, functional verbs like 'performs' and the mechanistic narrative of 'how' a model works are markers of Rung 3 (Mechanistic/Counterfactual) claims. This creates a +1 gap between the interventional evidence and the mechanistic claim."
2211.00593,2211.00593-02,Our explanation encompasses 26 attention heads grouped into 7 main classes,abstract,3,Path patching and activation patching (causal interventions),2,3,1,5,0,"The method used is path patching, which is a form of activation patching (Rung 2). The claim uses the term 'explanation' and groups components into functional 'classes' to describe how the model performs a task, which constitutes a mechanistic narrative (Rung 3). According to the codebook, describing a functional mechanism or 'how' a model performs a task is a Rung 3 claim, creating a +1 gap."
2211.00593,2211.00593-03,this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior,abstract,3,path patching and causal interventions,2,3,1,5,0,"The claim uses the term 'reverse-engineering', which is explicitly listed in the codebook as a Rung 3 linguistic marker because it implies a complete mechanistic narrative. The methods used (path patching, activation patching, and knockouts) are interventional and establish causal sufficiency, which corresponds to Rung 2. This creates a +1 gap between the method used and the claim made."
2211.00593,2211.00593-04,Name Mover Heads... move the name from the subject to the end position,body,1,Path patching (activation patching variant),2,3,1,5,0,"The method used is path patching, which is a causal intervention (Rung 2) that measures the effect of specific activation paths on the output. The claim uses the functional verb 'move', which implies a mechanistic narrative of how the model performs the task (Rung 3). This matches the 'R2 to R3' overclaiming pattern identified in the calibration anchor for this paper."
2211.00593,2211.00593-05,S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token,body,1,Path patching (causal intervention on the query vector of Name Mover Heads),2,3,1,5,0,"The method used is path patching, which is a Rung 2 interventional method that measures causal mediation. The claim uses the functional/mechanistic verb 'inhibit' to describe the specific action of one component on another's internal mechanism (attention). According to the codebook, functional verbs and mechanistic narratives that describe how a model 'performs' or 'uses' components to achieve a specific internal state are classified as Rung 3. This creates a +1 gap between the interventional evidence and the mechanistic claim."
2211.00593,2211.00593-06,the circuit is faithful complete and minimal,abstract,2,"Causal interventions (path patching, knockouts) and quantitative evaluation metrics (faithfulness, completeness, minimality)",2,3,1,5,0,"The claim uses the definite article 'the circuit' and asserts 'completeness' and 'faithfulness' to the model's internal mechanism, which are Rung 3 mechanistic/uniqueness markers. The methods used (path patching and knockouts) are interventional (Rung 2) as they establish causal sufficiency but do not satisfy the counterfactual uniqueness or absolute necessity required for Rung 3. The paper itself acknowledges that the circuit fails the most challenging completeness tests, yet the abstract claim is stated as a fact."
2202.05262,2202.05262-01,factual associations correspond to localized directly-editable computations,abstract,3,Causal mediation analysis (causal tracing) and Rank-One Model Editing (ROME),2,3,1,5,0,"The method used is interventional (R2), involving activation patching (causal tracing) and weight modification (ROME) to establish causal sufficiency. However, the claim uses Rung 3 linguistic markers: it asserts that factual associations 'correspond to' (an identity/mechanistic claim) 'localized computations' (functional attribution). This implies a specific mechanistic structure rather than just causal mediation, creating a +1 gap between the interventional evidence and the mechanistic claim."
2202.05262,2202.05262-02,a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions,abstract,3,Causal mediation analysis (causal tracing) via activation patching,2,2,0,5,0,"The method used is causal tracing, which is a form of activation patching (Rung 2). The claim uses the linguistic marker 'mediate', which is explicitly listed in the codebook as a Rung 2 causal marker. The claim and method are perfectly aligned at Rung 2."
2202.05262,2202.05262-03,mid-layer feed-forward modules... storing factual associations,abstract,3,Causal mediation analysis (causal tracing) and Rank-One Model Editing (ROME),2,3,1,5,0,"The method used is interventional (R2), involving activation patching and weight editing to observe causal effects on model output. However, the claim uses the term 'storing', which according to the codebook's decision tree for polysemous terms, is a Rung 3 (Mechanistic) claim because it implies a specific storage mechanism rather than just causal mediation. The gap between the interventional evidence (R2) and the storage/mechanistic claim (R3) constitutes a +1 overclaim."
2202.05262,2202.05262-04,ROME is effective on a standard zero-shot relation extraction model-editing task,abstract,3,Rank-One Model Editing (ROME) evaluated on zsRE benchmark,2,2,0,5,0,"The method (ROME) is an interventional weight-editing technique (Rung 2). The claim uses the term 'effective' to describe the performance of this intervention on a specific task (zsRE). According to the codebook, claims about the result of an intervention or its effectiveness are Rung 2. There is no overclaim here as the claim rung matches the method rung."
