paper_id,claim_id,claim_text,claim_location,claim_prominence,method_used,method_rung,claim_rung,gap_score,confidence,hedge_flag,reasoning
2211.00593,2211.00593-01,presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI),abstract,3,circuit analysis with path patching and knockouts,2,3,1,5,0,"The method used is primarily 'path patching' and 'knockouts,' which are interventional techniques (Rung 2). The claim states the paper is 'presenting an explanation' for how GPT-2 small performs IOI, which implies a mechanistic or functional understanding of the model's behavior. This aligns with Rung 3 (mechanistic/counterfactual claims) due to the use of terms like 'explanation' and the implication of reverse-engineering the algorithm. The paper explicitly frames this as reverse-engineering, which is a Rung 3 claim. No hedging is present in the claim."
2211.00593,2211.00593-02,Our explanation encompasses 26 attention heads grouped into 7 main classes,abstract,3,circuit analysis with path patching and knockouts,2,3,1,5,0,"1. **Method Rung (2 - Interventional):** The paper uses path patching (an activation patching variant) and knockouts (ablation) to identify and validate the circuit. These are interventional methods that establish causal effects of specific components on model behavior, placing them firmly in Rung 2.

2. **Claim Rung (3 - Mechanistic/Counterfactual):** The claim uses the term ""explanation"" and groups heads into ""classes,"" implying a mechanistic narrative about how the model implements the IOI task. The phrase ""encompasses 26 attention heads"" suggests a completeness or uniqueness claim, which is characteristic of Rung 3. The paper does not merely state causal effects (Rung 2) but frames the circuit as the *mechanism* underlying the behavior.

3. **Overclaim Gap:** The method (Rung 2) does not establish uniqueness or necessity of the circuit, only causal sufficiency. The claim (Rung 3) implies a stronger mechanistic interpretation, resulting in a +1 gap.

4. **Confidence:** High confidence (5) due to clear linguistic markers (""explanation,"" ""encompasses"") and the paper's explicit framing of the circuit as a mechanistic account.

5. **Hedge Flag:** No hedging language (e.g., ""may,"" ""suggests"") is present in the claim."
2211.00593,2211.00593-03,this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior,abstract,3,"path patching, activation patching, knockouts",2,3,1,4,0,"The method used (path patching, activation patching, and knockouts) is classified as Rung 2 (Interventional) because it involves causal interventions on model components to measure their effects on behavior. The claim, however, uses the term 'reverse-engineering,' which implies a mechanistic understanding of the model's behavior (Rung 3). This term suggests a uniqueness or completeness claim about the identified circuit, which goes beyond the causal evidence provided by the methods. The paper does not explicitly test for uniqueness or necessity (e.g., via counterfactual patching or causal scrubbing), so the claim overreaches the method's capabilities by one rung."
2211.00593,2211.00593-04,Name Mover Heads... move the name from the subject to the end position,body,1,activation_patching,2,3,1,5,0,"The claim uses the functional verb 'move,' which is a Rung 3 linguistic marker indicating a mechanistic or functional attribution. The paper primarily uses activation patching (path patching), an interventional method (Rung 2), to establish causal effects of attention heads. However, the claim goes beyond the interventional evidence by asserting a specific mechanistic role ('move the name'), which implies a unique and direct computation. This creates a method-claim gap of +1 (R2 → R3). The confidence is high because the claim explicitly attributes a mechanistic function, and the paper does not hedge this assertion."
2211.00593,2211.00593-05,S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token,body,1,path_patching,2,3,1,4,0,"The method used is path patching, which is classified as Rung 2 (Interventional) because it involves causal interventions by replacing activations and measuring effects on model behavior. The claim states that 'S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token,' which is a mechanistic and functional attribution (e.g., 'inhibit' implies a specific role in the circuit). This aligns with Rung 3 (Mechanistic/Counterfactual) linguistic markers, as it describes a unique and specific computational role. However, the paper does not explicitly test for uniqueness or necessity (e.g., whether these heads are the *only* ones performing this role), which slightly reduces confidence. The claim is stated as a factual assertion without hedging."
2211.00593,2211.00593-06,the circuit is faithful complete and minimal,abstract,2,path_patching,2,3,1,4,0,"The claim ""the circuit is faithful complete and minimal"" implies a mechanistic understanding of the model's behavior, specifically uniqueness and necessity of the identified circuit. This is a Rung 3 claim (mechanistic/counterfactual) as it suggests the circuit is THE mechanism responsible for the task, not just causally sufficient or correlational.

The primary method used to support this claim is path patching (activation patching variant), which is a Rung 2 method (interventional). Path patching establishes causal effects of specific components but does not inherently prove uniqueness or necessity, which are required for Rung 3 claims.

The paper does attempt to validate these criteria (faithfulness, completeness, minimality) through quantitative experiments, but the results show gaps (e.g., the circuit fails the most challenging tests of completeness). The claim thus overreaches the method's capacity, resulting in a +1 gap (R2 method → R3 claim).

Confidence is 4 due to clear linguistic markers (""the circuit,"" implying uniqueness) and well-documented method (path patching), though minor ambiguity exists about whether the authors explicitly claim uniqueness or just sufficiency."
2202.05262,2202.05262-01,factual associations correspond to localized directly-editable computations,abstract,3,causal mediation analysis (causal tracing),2,3,1,5,0,"The method used here is causal mediation analysis (referred to as causal tracing in the paper), which involves interventions on model activations (e.g., corrupting and restoring activations) to measure causal effects. This places the method firmly in Rung 2 (Interventional).

The claim states that 'factual associations correspond to localized directly-editable computations.' The use of 'correspond to' in this context, combined with the mechanistic framing ('localized directly-editable computations'), implies a Rung 3 (Mechanistic/Counterfactual) claim. The paper goes beyond establishing causal effects (Rung 2) and suggests a specific computational mechanism underlying factual recall, which aligns with Rung 3 markers like 'encodes,' 'represents,' or 'performs.' The term 'localized' further implies uniqueness, a hallmark of Rung 3 claims.

No hedging language is present in the claim, so hedge_flag is 0. Confidence is high (5) due to the clear alignment of the method and claim with the codebook definitions."
2202.05262,2202.05262-02,a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions,abstract,3,causal mediation analysis (activation patching),2,2,0,5,0,"The claim states that the paper identifies 'a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions.' The method used to support this claim is causal mediation analysis (activation patching), which is explicitly described in the paper (e.g., Figure 1 and Section 2.1). This method is classified as Rung 2 (Interventional) because it involves intervening on activations to measure causal effects. The claim itself uses the term 'mediate,' which is a Rung 2 linguistic marker, indicating a causal relationship without asserting uniqueness or mechanistic necessity. Thus, the claim rung aligns with the method rung."
2202.05262,2202.05262-03,mid-layer feed-forward modules... storing factual associations,abstract,3,Causal tracing (activation patching),2,3,1,5,0,"The claim states that 'mid-layer feed-forward modules... [are] storing factual associations.' The linguistic marker 'storing' is a Rung 3 term, implying a mechanistic or representational claim about how factual associations are encoded in the model. According to the decision tree for polysemous terms like 'stores' or 'encodes,' the paper provides interventional evidence (causal tracing via activation patching, a Rung 2 method) but does not establish uniqueness or counterfactual necessity. However, the claim goes beyond the interventional result (causal mediation) to assert a mechanistic narrative ('storing'), which defaults to Rung 3. The method used (causal tracing) is classified as Rung 2 because it establishes causal effects but not unique mechanisms."
2202.05262,2202.05262-04,ROME is effective on a standard zero-shot relation extraction model-editing task,abstract,3,Rank-One Model Editing (ROME),2,2,0,5,0,"The claim states that 'ROME is effective on a standard zero-shot relation extraction (zsRE) model-editing task.' The method used, ROME, is classified as Rung 2 (Interventional) because it involves direct weight modifications to alter factual associations and observes the causal effects of these interventions on model predictions. The claim itself is about the effectiveness of ROME, which is an empirical observation of the outcomes of these interventions, aligning with Rung 2. There is no hedge language present, and the claim is stated as a fact, so hedge_flag is 0. The confidence is high (5) because the method and claim are clearly aligned with the definitions provided in the codebook."
