paper_id,claim_id,claim_text,claim_location,claim_prominence,method_used,method_rung,claim_rung,gap_score,confidence,hedge_flag,reasoning
2211.00593,2211.00593-01,presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI),abstract,3,Activation patching,2,3,1,5,0,"The claim 'presenting an explanation for how GPT-2 small performs...IOI' uses the word 'how', which implies a mechanistic/counterfactual explanation (Rung 3). The paper's primary method is activation patching (called 'path patching'), which is an interventional method establishing causal sufficiency but not necessity or uniqueness (Rung 2). This matches the canonical IOI circuit paper calibration case where Rung 2 methods support Rung 3 mechanistic claims, creating a +1 overclaim gap. The claim is stated definitively in the abstract with no hedging."
2211.00593,2211.00593-02,Our explanation encompasses 26 attention heads grouped into 7 main classes,abstract,3,Activation patching,2,3,1,5,0,"The method used is activation patching (called 'path patching' in the paper), which is an interventional method establishing causal effects, so method_rung=2. The claim 'encompasses 26 attention heads grouped into 7 main classes' implies a complete mechanistic explanation of the circuit, using the definite article 'the circuit' and claiming to have identified all components, which constitutes a uniqueness claim (Rung 3). This matches the calibration case of the IOI paper itself, which is the primary calibration anchor showing Rung 2→3 overclaiming via 'the circuit' language. No hedge is present - the claim is stated as fact. Confidence is high (5) because this is the canonical example from the calibration set."
2211.00593,2211.00593-03,this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior,abstract,3,Activation patching,2,3,1,5,0,"The method used is activation patching (called 'path patching' in the paper), which is an interventional method establishing causal effects, so method_rung=2. The claim uses 'reverse-engineering', which according to the codebook's Decision Trees for Polysemous Terms and Calibration Examples (specifically the IOI Circuit paper), implies a complete mechanistic understanding and is a Rung 3 claim. The abstract states this as a factual claim without hedging (e.g., no 'may' or 'suggests'), so hedge_flag=0. This matches the primary calibration anchor (IOI Circuit paper) which shows the same R2→R3 overclaim pattern with 'reverse-engineering'."
2211.00593,2211.00593-04,Name Mover Heads... move the name from the subject to the end position,body,1,Activation patching,2,3,1,5,0,"The method used is activation patching (specifically path patching), which is an interventional method establishing causal effects, so method_rung=2. The claim uses the verb 'move' which is a functional/mechanistic verb indicating a specific computational role, and refers to 'Name Mover Heads' which implies these heads perform the moving function. According to the codebook's decision tree for polysemous terms, 'move' in this context constitutes a mechanistic claim about what the component does, not just that it's correlated or causally affects the output. This matches the 'performs IOI task' and 'Name Movers move names' examples in the calibration set, which were coded as Rung 3. There is no hedge present in the claim."
2211.00593,2211.00593-05,S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token,body,1,Activation patching,2,3,1,5,0,"The method used is activation patching (specifically path patching), which is an interventional method (Rung 2) that measures causal effects by replacing activations. The claim uses the word 'inhibit' which is a functional verb indicating a mechanistic role - this is a Rung 3 linguistic marker per the codebook's Decision Tree for 'controls/is responsible for'. The paper provides interventional evidence (path patching showing attention changes when S-Inhibition Heads are patched) but then makes the stronger claim about the mechanism ('inhibit'). This matches the canonical IOI circuit paper pattern where Rung 2 methods support Rung 3 claims. No hedge words are present - the claim is stated definitively."
2211.00593,2211.00593-06,the circuit is faithful complete and minimal,abstract,2,Activation patching,2,3,1,5,0,"The method used is activation patching (called 'path patching' in the paper), which is an interventional method establishing causal effects, so method_rung=2. The claim 'the circuit is faithful, complete and minimal' uses the definite article 'the circuit' which implies uniqueness and a complete mechanistic account, placing it at claim_rung=3 per the decision tree for 'the circuit'. This matches the calibration case for this paper which identifies a +1 overclaim gap. The claim is stated without hedging in the abstract, so hedge_flag=0. Confidence is high (5) because this is the primary calibration anchor case explicitly discussed in the codebook."
2202.05262,2202.05262-01,factual associations correspond to localized directly-editable computations,abstract,3,Causal tracing (activation patching) and ROME editing (weight modification),2,3,1,5,0,"The method used is causal tracing (activation patching) and ROME editing, both interventional methods that establish causal effects but not counterfactual necessity or uniqueness. This places the method_rung at 2. The claim states that 'factual associations correspond to localized directly-editable computations', using the definite article 'the' (implied by 'localized') and the strong mechanistic language 'correspond to' which implies identity rather than mere correlation or causal influence. According to the decision tree for 'correspond to' in the codebook, this constitutes a Rung 3 claim about mechanism. The claim is stated as a definitive finding without hedging, hence hedge_flag=0. This matches the calibration case of ROME (2202.05262) which was identified as having a +1 overclaim gap from Rung 2 method to Rung 3 claim."
2202.05262,2202.05262-02,a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions,abstract,3,Causal tracing (activation patching variant),2,2,0,5,0,"The method used is causal tracing, which is an interventional method (Rung 2) as it involves systematically patching activations and measuring effects on outputs. The claim uses the word 'mediate', which is a Rung 2 linguistic marker according to the codebook (e.g., 'mediates', 'influences', 'is sufficient for'). The claim states that these modules 'mediate factual predictions', which accurately reflects the causal sufficiency established by the intervention without making stronger mechanistic claims about unique representation or storage. There is no hedge present in the claim, and it aligns properly with the method's rung, showing no overclaiming."
2202.05262,2202.05262-03,mid-layer feed-forward modules... storing factual associations,abstract,3,Causal tracing (activation patching),2,3,1,5,0,"The method used is causal tracing, which is a form of activation patching that intervenes on the model by corrupting inputs and restoring specific activations. This establishes causal effects, placing it at Rung 2. The claim uses the word 'storing' which is a mechanistic term implying a representation or memory mechanism. According to the decision tree for 'encodes/represents/stores', this constitutes a Rung 3 claim about the underlying mechanism. The paper provides interventional evidence (Rung 2) but makes a mechanistic claim (Rung 3) without demonstrating uniqueness or necessity, creating a +1 gap. This matches the calibration example of ROME paper where 'storing' claims were coded as Rung 3 despite Rung 2 methods. There is no hedge present in the claim."
2202.05262,2202.05262-04,ROME is effective on a standard zero-shot relation extraction model-editing task,abstract,3,ROME editing (weight modification),2,2,0,5,0,"The method used is ROME editing, which modifies model weights to update factual associations. This is an interventional method (Rung 2) as it directly intervenes on the model's parameters and measures the effect. The claim states that 'ROME is effective' on a model-editing task, which is a causal claim about the intervention's effect on model behavior. This matches Rung 2 linguistic markers like 'is effective' and 'modifying' that indicate causal effects. There is no overclaiming as the claim rung matches the method rung. The claim is stated as a factual result without hedging (hedge_flag=0). This is a clear case with high confidence."
2301.05217,2301.05217-01,We fully reverse engineer the algorithm learned by these networks,abstract,3,"ablation in Fourier space, weight and activation analysis",2,3,1,5,0,"The method used is ablation in Fourier space (Section 4.4), which is an interventional method (Rung 2) as it involves modifying model components and measuring effects. The claim 'fully reverse engineer the algorithm' uses strong mechanistic language ('reverse engineer', 'the algorithm') implying complete understanding of the unique mechanism, which corresponds to Rung 3. The definite article 'the' before 'algorithm' and the completeness claim 'fully' indicate uniqueness and complete mechanistic understanding. This matches the calibration case of Grokking (2301.05217) which had the same +1 overclaim pattern. The claim is stated without hedging, hence hedge_flag=0. I am very confident as this is a clear case matching the calibration example."
2301.05217,2301.05217-02,uses discrete Fourier transforms and trigonometric identities to convert addition to rotation,abstract,3,ablation in Fourier space,2,3,1,5,0,"The method used is ablation in Fourier space, which is an interventional method (Rung 2) as it involves modifying components and measuring effects. The claim states the model 'uses' discrete Fourier transforms and trigonometric identities, which is a mechanistic claim about the algorithm the model implements (Rung 3). The verb 'uses' indicates functional attribution, and the claim describes the computational process, implying a complete mechanistic understanding. This matches the calibration case of the Grokking paper where 'uses' claims were coded as Rung 3. There is no hedge present in the claim."
2301.05217,2301.05217-03,grokking arises from the gradual amplification of structured mechanisms encoded in the weights,abstract,3,ablation in Fourier space,2,3,1,5,0,"The method used is ablation in Fourier space, which is an interventional method (Rung 2) as it involves modifying components of the model and measuring the effect. The claim states that grokking 'arises from the gradual amplification of structured mechanisms encoded in the weights'—the phrase 'structured mechanisms encoded in the weights' constitutes a mechanistic claim (Rung 3), as it attributes a functional role and representation to the weights. The term 'encoded' is used in a mechanistic sense here, not merely as 'decodable', and is supported by interventional evidence, but the claim goes beyond sufficiency to assert a specific mechanism, thus qualifying as Rung 3. There is no hedge (e.g., 'may', 'suggests'), so hedge_flag=0. The claim appears in the abstract and is stated definitively, indicating high confidence in the assignment."
2409.04478,2409.04478-01,SAEs struggle to reach the neuron baseline,abstract,3,Interchange intervention (DAS) and differential binary masking with SAE features,2,2,0,5,0,"The claim 'SAEs struggle to reach the neuron baseline' is based on interchange interventions (a Rung 2 method) that measure causal effects by fixing features to values from a source input and observing output changes. The claim uses the verb 'struggle', which is not a strong causal or mechanistic term, but the context in the abstract and results (e.g., accuracy comparisons) shows it is making a causal performance claim about the sufficiency of SAE features in mediating knowledge, which aligns with Rung 2. The paper does not claim SAEs fail to 'encode' or 'represent' knowledge (which would be Rung 3), but rather evaluates their utility as mediators via intervention, matching the method. No hedge is present; the claim is stated as a direct result."
2409.04478,2409.04478-02,sets of SAE features that separately mediate knowledge of which country a city is in,abstract,3,Interchange intervention (DAS interchange),2,2,0,5,0,"The method used is interchange intervention, which is explicitly described in the paper as 'an interchange intervention (Geiger et al., 2020; Vig et al., 2020; Finlayson et al., 2021)' and implemented via Differential Binary Masking. This is an interventional method that tests causal effects by fixing features to values from a source input, placing it at Rung 2. The claim uses the word 'mediate', which is a canonical Rung 2 linguistic marker per the codebook (e.g., 'mediates', 'influences', 'is sufficient for'). The paper does not claim uniqueness or mechanism (e.g., 'the circuit', 'encodes', 'performs'), so the claim_rung is appropriately Rung 2. There is no hedge (e.g., 'may', 'suggests'), so hedge_flag=0. The alignment between method (Rung 2) and claim (Rung 2) is exact, and the terminology matches the calibration example of the SAE Evaluation paper (2409.04478), which was noted for appropriate claim-method alignment."
2601.11516,2601.11516-01,activation probes may be a promising misuse mitigation technique,abstract,3,Linear probing,1,1,0,5,1,"The method used is linear probing, which is a Rung 1 (observational) method per the codebook. The claim states that probes 'may be a promising misuse mitigation technique'—the hedged language ('may be') and the focus on 'promising' as a potential rather than definitive capability aligns with Rung 1 associational claims (e.g., 'predicts', 'is decodable from'). The claim does not assert mechanism, causality, or uniqueness, and the hedge further supports a Rung 1 interpretation. This matches the calibration example of Gemini Probes (2601.11516), which avoids overclaiming by using appropriate hedging and empirical focus."
2601.11516,2601.11516-02,probes fail to generalize under important production distribution shifts,abstract,3,Linear probing,1,1,0,5,0,"The claim 'probes fail to generalize under important production distribution shifts' is an empirical observation about model performance under distribution shifts, which is assessed through linear probing (a Rung 1 method). The claim uses the term 'fail to generalize', which is a performance-based statement rather than a mechanistic or causal claim. It does not use linguistic markers for Rung 2 (e.g., 'causally affects') or Rung 3 (e.g., 'encodes', 'performs', 'the circuit'). The claim is stated as a factual observation without hedging (e.g., 'may fail'), so hedge_flag=0. The method (linear probing) and claim (generalization failure) are both at Rung 1, so there is no overclaiming. This is consistent with the calibration example of Gemini Probes (2601.11516), which uses probing and makes appropriate Rung 1 claims about probe performance."
2304.14997,2304.14997-01,reverse-engineered nontrivial behaviors of transformer models,abstract,3,activation patching,2,3,1,5,0,"The claim 'reverse-engineered nontrivial behaviors' in the abstract uses the term 'reverse-engineered', which is a strong mechanistic claim (Rung 3 linguistic marker) implying complete understanding of the underlying algorithm. The method used, as described in the abstract and throughout the paper, is activation patching, which is an interventional method (Rung 2). This creates a +1 overclaim gap. The claim is stated without hedging (hedge_flag=0) and is highly confident because 'reverse-engineering' is a canonical Rung 3 term in mechanistic interpretability literature, while activation patching is definitively Rung 2 as it establishes causal sufficiency but not counterfactual necessity or uniqueness."
2304.14997,2304.14997-02,ACDC algorithm rediscovered 5/5 of the component types in a circuit,abstract,3,Activation patching,2,3,1,5,0,"The method used is activation patching (specifically recursive activation patching as described in Section 2.3), which is an interventional method that establishes causal effects by overwriting activations and measuring output changes, placing it at Rung 2. The claim states that ACDC 'rediscovered' the component types in 'a circuit', using the definite article 'a circuit' which implies a specific, identified mechanism. The term 'circuit' in mechanistic interpretability literature (as established in the paper's own definition in Section 2) refers to a subgraph with distinct functionality, and claiming to have 'rediscovered' it implies the algorithm has identified the true underlying mechanism, which is a Rung 3 claim about the unique structure of the model. This matches the calibration case of the IOI paper where 'the circuit' claims were coded as Rung 3. There is no hedging language in the claim."
2304.14997,2304.14997-03,researchers can understand the functionality of each component,abstract,3,activation patching,2,3,1,5,0,"The method used is activation patching, which is an interventional method (Rung 2) as it involves replacing activations and measuring effects. The claim states researchers can 'understand the functionality of each component', which uses the word 'functionality' - a Rung 3 linguistic marker indicating mechanistic understanding of what the component does. This is not merely correlational (Rung 1) or causal (Rung 2) but implies understanding the actual mechanism. The claim is stated as a definitive capability without hedging (hedge_flag=0). This follows the common overclaim pattern where Rung 2 methods support Rung 3 mechanistic claims, similar to the IOI circuit paper calibration example."
