paper_id,claim_id,claim_text,claim_location,claim_prominence,method_used,method_rung,claim_rung,gap_score,confidence,hedge_flag,reasoning
2104.08164,2104.08164-01,The factual knowledge acquired during pre-training and stored in the parameters of Language Models,abstract,3,Hyper-network weight editing,1,3,2,4,0,"Claim uses 'stored in the parameters' — storage/memory language = R3 by decision tree. Method is a weight-editing hyper-network; the observation that knowledge is 'stored' is inferred from model editing success, not direct mechanistic proof. No activation patching or causal tracing; method_rung=1 (observational: weight update analysis)."
2104.08164,2104.08164-02,our hyper-network can be regarded as a probe revealing which components need to be changed to manipulate factual knowledge,abstract,3,Hyper-network weight editing (analysis of update patterns),1,3,2,3,0,"Claim says hyper-network 'reveals' causal mediation mechanisms — functional/mechanistic language (R3). The evidence is which parameters the hyper-network updates, which is observational analysis of gradient/update patterns (R1). 'Probe' framing is metaphorical; no direct causal intervention on activations."
2104.08164,2104.08164-03,our analysis shows that the updates tend to be concentrated on a small subset of components,abstract,3,Hyper-network weight editing (analysis of update sparsity),1,1,0,4,0,Claim that 'updates tend to be concentrated on a small subset of components' is an empirical observation about the distribution of weight updates — purely associational/observational (R1 claim). Method is also R1: logging which components receive large updates. No causal language.
2104.08164,2104.08164-04,our hyper-network can be regarded as a probe revealing the causal mediation mechanisms,body,1,Hyper-network weight editing (analysis of update patterns),1,3,2,3,0,Claim that hyper-network 'reveals the causal mediation mechanisms' invokes mechanistic functional language (R3). Evidence is observational analysis of which weights are updated most. No direct causal intervention on model activations to establish mechanism. 'Causal mediation' borrowed from Vig et al. but not operationalized with patching here.
2104.08164,2104.08164-05,the knowledge manipulation seems to be achieved by primarily modifying parameters affecting the shape of the attention distribution,body,1,Hyper-network weight editing (analysis of update distribution),1,2,1,3,1,"Claim uses 'seems to be achieved by primarily modifying' — hedged (hedge_flag=1). 'Achieved by' suggests causal sufficiency (R2). Method is observational analysis of where weight updates concentrate (R1). Hedge softens to near-R1 but the core claim ('achieved by') is causal-mechanism language, so R2."
2202.05262,2202.05262-01,factual associations correspond to localized directly-editable computations,abstract,3,Causal tracing (activation patching),2,3,1,5,0,Claim: 'factual associations correspond to localized directly-editable computations' — 'correspond to localized computations' is identity/mechanistic claim (R3). Method is causal tracing (R2). Classic R2→R3 overclaim per calibration rationale: localization claim goes beyond what causal mediation establishes.
2202.05262,2202.05262-02,a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions,abstract,3,Causal tracing (activation patching),2,2,0,5,0,Claim: 'a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions.' 'Mediate' is appropriate R2 language for causal intervention results. Causal tracing establishes mediation. No uniqueness/storage claim here. Well-matched claim-method pair.
2202.05262,2202.05262-03,mid-layer feed-forward modules... storing factual associations,abstract,3,Causal tracing + ROME weight editing,2,3,1,5,0,"Claim: 'mid-layer feed-forward modules... storing factual associations.' 'Storing' is memory/mechanistic language = R3 per decision tree and calibration rationale. Causal tracing (R2) establishes mediation, not storage as a mechanism. Canonical R2→R3 overclaim from the ROME calibration case."
2202.05262,2202.05262-04,ROME is effective on a standard zero-shot relation extraction model-editing task,abstract,3,ROME weight editing (model-editing evaluation),2,2,0,5,0,"Claim: 'ROME is effective on a standard zero-shot relation extraction model-editing task.' This is an empirical performance claim about the method, not a mechanistic claim about model internals. 'Is effective' = R2 (causal sufficiency: the intervention achieves the goal). Well-matched."
2211.00593,2211.00593-01,presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI),abstract,3,Path patching (activation patching variant),2,3,1,5,0,"Claim: 'presenting an explanation for how GPT-2 small performs a natural language task' — 'performs' is functional mechanistic language (R3). The definite mechanistic framing ('how ... performs') implies complete algorithmic explanation. Path patching (R2) establishes causal effects, not the full mechanism. Canonical R2→R3 overclaim per calibration anchor."
2211.00593,2211.00593-02,Our explanation encompasses 26 attention heads grouped into 7 main classes,abstract,3,Path patching + ablation,2,3,1,4,0,Claim: 'Our explanation encompasses 26 attention heads grouped into 7 main classes.' This frames the circuit as THE explanation — uniqueness implied by 'our explanation' as complete description. Path patching (R2) identifies components with causal effects but doesn't establish this is the unique or complete mechanism.
2211.00593,2211.00593-03,this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior,abstract,3,Path patching (activation patching),2,3,1,5,0,"Claim: 'largest end-to-end attempt at reverse-engineering a natural behavior.' 'Reverse-engineering' implies complete mechanistic reconstruction (R3). Path patching establishes causal effects (R2). Per calibration anchor, 'reverse-engineering' language = R3 overclaim."
2211.00593,2211.00593-04,Name Mover Heads... move the name from the subject to the end position,body,1,Path patching + attention analysis,2,3,1,5,0,Claim: 'Name Mover Heads... move the name from the subject to the end position.' 'Move' is a functional mechanistic verb describing what a component DOES (R3). Path patching shows causal effect; 'move' implies the unique mechanism. Per calibration rationale: functional verbs = R3 overclaim.
2211.00593,2211.00593-05,S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token,body,1,Path patching + attention analysis,2,3,1,5,0,Claim: 'S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token.' 'Inhibit' is a functional mechanistic verb (R3). Path patching (R2) shows causal effects. Directly matches calibration anchor pattern: functional verb overclaim.
2211.00593,2211.00593-06,the circuit is faithful complete and minimal,abstract,2,Path patching + ablation (faithfulness/completeness/minimality tests),2,3,1,5,0,Claim: 'the circuit is faithful complete and minimal.' 'The circuit' uses definite article implying uniqueness (R3). Faithfulness/completeness/minimality tests use ablation (R2). Per calibration anchor: 'the circuit' = R3 regardless of qualification. R2→R3 overclaim.
