paper_id,claim_id,claim_text,claim_location,claim_prominence,method_used,method_rung,claim_rung,gap_score,confidence,notes,replication_status,replication_evidence
2211.00593,2211.00593-01,"presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI)",abstract,3,Activation Patching,2,3,1,5,"'performs' is Rung 3 mechanistic language implying the model executes a specific algorithm. Method is path patching (Rung 2 intervention). Classic overclaim pattern.",NA,
2211.00593,2211.00593-02,"Our explanation encompasses 26 attention heads grouped into 7 main classes",abstract,3,Activation Patching,2,2,0,5,"Descriptive claim about circuit structure; does not overclaim mechanism.",NA,
2211.00593,2211.00593-03,"this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior 'in the wild'",abstract,3,Activation Patching,2,3,1,4,"'reverse-engineering' implies full mechanistic understanding (Rung 3). Hedged by 'attempt'.",NA,
2211.00593,2211.00593-04,"Name Mover Heads... move the name from the subject to the end position",body,1,Activation Patching,2,3,1,5,"'move' is functional/mechanistic language (Rung 3). Method only shows causal effect not unique mechanism.",0.5,"Known issue: Different ablation methods yield different 'circuits'. See Zhang et al. 2024 IOI replication studies."
2211.00593,2211.00593-05,"S-Inhibition Heads... inhibit attention from the Name Mover Heads to the S token",body,1,Activation Patching,2,3,1,5,"'inhibit' is mechanistic functional attribution (Rung 3). Patching shows sufficiency not necessity.",0.5,
2211.00593,2211.00593-06,"Backup Name Mover Heads... compensate when the Name Mover Heads are ablated",body,1,Ablation,2,3,1,4,"'compensate' implies intentional mechanism. Ablation (Rung 2) doesn't establish this.",NA,
2211.00593,2211.00593-07,"the circuit is faithful, complete, and minimal",conclusion,2,Activation Patching,2,3,1,4,"'the circuit' implies uniqueness (Rung 3). Authors acknowledge gaps in understanding.",0.5,
2202.05262,2202.05262-01,"factual associations correspond to localized, directly-editable computations",abstract,3,Causal Tracing,2,3,1,5,"'correspond to' + 'computations' is mechanistic (Rung 3). Causal tracing shows causal mediation not correspondence.",NA,
2202.05262,2202.05262-02,"a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions",abstract,3,Causal Tracing,2,2,0,5,"'mediate' is appropriate Rung 2 language for causal tracing results.",NA,
2202.05262,2202.05262-03,"mid-layer feed-forward modules... storing factual associations",abstract,3,Causal Tracing,2,3,1,5,"'storing' implies memory mechanism (Rung 3). Causal tracing shows causal role not storage.",0.5,"Subsequent work (e.g., Hase et al. 2023) questions localization claims."
2202.05262,2202.05262-04,"knowledge is stored in a localized manner within early MLP modules",introduction,2,Causal Tracing,2,3,1,5,"'stored' and 'localized' are strong mechanistic claims (Rung 3).",0.5,
2202.05262,2202.05262-05,"ROME is effective on a standard zero-shot relation extraction model-editing task",results,1,ROME Editing,2,2,0,5,"Empirical effectiveness claim matched to method rung.",1,"ROME editing shown to have side effects; not robust to different prompts."
2301.05217,2301.05217-01,"We fully reverse engineer the algorithm learned by these networks",abstract,3,Circuit Analysis + Ablation,2,3,1,4,"'fully reverse engineer' and 'the algorithm' imply complete mechanistic understanding (Rung 3).",0,"Well-replicated; Fourier structure confirmed by multiple studies."
2301.05217,2301.05217-02,"uses discrete Fourier transforms and trigonometric identities to convert addition to rotation about a circle",abstract,3,Weight Analysis + Ablation,2,3,1,5,"'uses... to convert' is mechanistic (Rung 3). But weight analysis + ablation provide strong evidence.",0,"Strong replication - algorithm structure confirmed."
2301.05217,2301.05217-03,"grokking... arises from the gradual amplification of structured mechanisms encoded in the weights",abstract,3,Weight Analysis,1,3,2,4,"'encoded in the weights' is Rung 3 but primary evidence is weight analysis (Rung 1). +2 overclaim.",0,
2301.05217,2301.05217-04,"We confirm the algorithm by analyzing the activations and weights and by performing ablations in Fourier space",body,1,Ablation,2,3,1,5,"'confirm the algorithm' implies Rung 3. Multi-method approach (ablation=R2) strengthens claim.",0,
2409.04478,2409.04478-01,"SAEs struggle to reach the neuron baseline",abstract,3,SAE Attribution + Interchange Intervention,1-2,2,0,5,"Causal claim about SAE effectiveness using interchange intervention (Rung 2). Appropriate.",0,"Directly evaluative paper; findings replicated in subsequent SAE evaluations."
2409.04478,2409.04478-02,"SAE feature spaces are useful for causal analysis",introduction,2,SAE Attribution,1,2,1,4,"'causal analysis' claims but SAE attribution alone is Rung 1. Paper uses DAS (Rung 2) for comparison.",NA,
2409.04478,2409.04478-03,"sets of SAE features that separately mediate knowledge of which country a city is in",abstract,3,Interchange Intervention,2,2,0,5,"'mediate' is appropriate Rung 2 language for interchange intervention results.",0,
2409.04478,2409.04478-04,"SAEs... degrade the model's knowledge",results,1,Interchange Intervention,2,2,0,5,"Causal effect claim appropriate for intervention method.",0,
2601.11516,2601.11516-01,"activation probes may be a promising misuse mitigation technique",abstract,3,Linear Probing,1,1,0,5,"Appropriate Rung 1 language - 'may be promising' is hedged correlation claim.",NA,
2601.11516,2601.11516-02,"probes fail to generalize under important production distribution shifts",abstract,3,Linear Probing,1,1,0,5,"Empirical observation about probe behavior; appropriate for method.",NA,
2601.11516,2601.11516-03,"These findings have informed the successful deployment of misuse mitigation probes in user-facing instances of Gemini",conclusion,2,Linear Probing,1,1,0,5,"Deployment claim - empirical, not mechanistic.",NA,
2601.11516,2601.11516-04,"probes... robustness against various production-relevant shifts",body,1,Linear Probing,1,1,0,5,"Robustness claim is empirical/correlational.",NA,
